index_number,time_start,time_end,duration,peak_time,max_intensity,mean_intensity,cumulative_intensity
1,1996-05-20,1996-05-26,7,1996-05-22,2.4501298247366634,1.761602878854767,12.33122015198337
2,1997-02-17,1997-02-23,7,1997-02-23,3.5923494575245485,2.839891797351548,19.879242581460836
3,1997-09-25,1997-10-01,7,1997-09-25,2.3970503524849462,1.721736730671955,12.052157114703686
4,1997-10-20,1997-10-25,6,1997-10-22,2.9336373042170187,2.040198640948537,12.241191845691223
5,1998-05-28,1998-06-01,5,1998-05-29,2.4341437883214105,1.698372645423828,8.49186322711914
6,1998-10-22,1998-10-27,6,1998-10-26,2.2615489961474466,1.8087058419202588,10.852235051521554
7,1999-02-04,1999-02-08,5,1999-02-05,3.03686539351218,2.386451287815317,11.932256439076586
8,1999-07-20,1999-07-26,7,1999-07-22,1.2929236807143525,1.1516128501793526,8.061289951255468
9,2000-01-22,2000-01-27,6,2000-01-24,6.399977589946005,4.299662971447537,25.797977828685223
10,2001-04-01,2001-04-05,5,2001-04-03,3.5538952197227047,2.5764537017738034,12.882268508869018
11,2001-06-15,2001-06-27,13,2001-06-19,2.587136811457082,1.9013467140901414,24.717507283171837
12,2001-08-11,2001-08-15,5,2001-08-11,1.941178091663744,1.3219097745931834,6.609548872965917
13,2001-09-13,2001-09-17,5,2001-09-16,1.4443625332603638,1.203957421797864,6.01978710898932
14,2001-11-06,2001-11-10,5,2001-11-09,7.603638146372084,4.338382153744835,21.691910768724174
15,2002-01-03,2002-01-09,7,2002-01-09,9.361844771097658,3.3758419977488168,23.630893984241716
16,2002-03-17,2002-03-21,5,2002-03-20,2.238718174995718,2.0785169926577316,10.392584963288659
17,2002-04-25,2002-05-07,13,2002-04-28,4.101695025587979,2.152636744760839,27.984277681890905
18,2002-09-29,2002-10-03,5,2002-09-29,2.92707413475199,2.0720438153969325,10.360219076984663
19,2004-01-26,2004-01-30,5,2004-01-30,2.9980341250743123,2.567173713647626,12.83586856823813
20,2005-12-09,2005-12-31,23,2005-12-16,4.8049902329405185,2.7652066792213503,63.59975362209106
21,2006-04-01,2006-04-06,6,2006-04-02,2.2461302052512124,1.9475512732858888,11.685307639715333
22,2006-08-07,2006-08-16,10,2006-08-15,2.378053516510377,1.5341453037042652,15.341453037042651
23,2007-11-24,2007-11-28,5,2007-11-25,2.2718362180882963,1.9423851796739449,9.711925898369724
24,2007-12-04,2007-12-19,16,2007-12-05,3.4984846372699465,2.6203716632304817,41.925946611687706
25,2007-12-27,2008-01-02,7,2007-12-30,2.8760144540198738,2.476514065466772,17.335598458267402
26,2008-01-08,2008-01-15,8,2008-01-15,2.7722820819062832,2.463119571061843,19.704956568494744
27,2008-06-19,2008-06-24,6,2008-06-20,1.8231898773626298,1.3983248156772365,8.38994889406342
28,2008-10-20,2008-10-26,7,2008-10-25,2.5299224751650513,2.2672524889498846,15.870767422649191
29,2009-03-06,2009-03-10,5,2009-03-07,3.283580730737608,2.4335320455831657,12.167660227915828
30,2009-10-23,2009-10-28,6,2009-10-24,2.1175042831824484,1.6191555195079932,9.71493311704796
31,2010-05-15,2010-05-19,5,2010-05-16,1.6844575823429082,1.4701449975530387,7.350724987765194
32,2010-08-05,2010-08-10,6,2010-08-05,2.253857015241934,1.8184568192348654,10.910740915409193
33,2013-04-25,2013-04-30,6,2013-04-26,1.7764546704634512,1.5941771317855291,9.565062790713174
34,2013-08-08,2013-08-16,9,2013-08-11,2.3513294588512395,1.5773295284565134,14.19596575610862
35,2013-10-03,2013-10-10,8,2013-10-04,3.5399959201345865,2.705640750738274,21.645126005906192
36,2014-05-21,2014-05-28,8,2014-05-24,2.3931794271477003,1.9219662421416461,15.375729937133169
37,2014-06-19,2014-06-25,7,2014-06-22,2.0902137460234975,1.5377149356636768,10.764004549645737
38,2014-11-18,2014-11-23,6,2014-11-23,1.9250032426259835,1.4908043360861736,8.944826016517041
39,2015-01-31,2015-02-13,14,2015-01-31,4.117793166912556,3.0820981190020587,43.14937366602882
40,2015-05-08,2015-05-12,5,2015-05-10,2.2675248126866308,1.9596254758553613,9.798127379276806
41,2015-07-05,2015-07-10,6,2015-07-06,1.5236466616019086,1.2820884760042255,7.692530856025353
42,2015-09-17,2015-09-21,5,2015-09-18,1.645516624509586,1.3441328946901792,6.720664473450896
43,2015-10-01,2015-10-06,6,2015-10-02,1.7316856621221035,1.4459709214741767,8.67582552884506
44,2016-01-09,2016-01-14,6,2016-01-12,2.68312000022701,2.337397473794456,14.024384842766736
45,2016-03-18,2016-04-03,17,2016-03-20,3.511606358589468,2.2542953726223414,38.323021334579806
46,2016-04-15,2016-04-21,7,2016-04-17,1.7212415404214276,1.5490775537205554,10.843542876043887
47,2016-11-11,2016-11-17,7,2016-11-12,2.0470352361591573,1.6784009931378796,11.748806951965157
48,2017-03-08,2017-03-13,6,2017-03-12,2.816452569729009,2.1193899654111963,12.716339792467178
49,2017-08-25,2017-09-04,11,2017-08-27,1.7420739214058258,1.4573714441080816,16.031085885188897
50,2017-11-11,2017-11-15,5,2017-11-14,1.9343417934926705,1.6667130237230972,8.333565118615486
51,2018-10-27,2018-11-01,6,2018-11-01,4.520283196976024,3.219224385712339,19.315346314274034
52,2019-02-15,2019-02-21,7,2019-02-17,3.6413571624800056,2.8547837863502186,19.98348650445153
53,2019-03-21,2019-03-25,5,2019-03-21,2.1205946376883595,1.8398293517718742,9.19914675885937
54,2019-04-15,2019-04-23,9,2019-04-20,2.127950132754613,1.7243548574334255,15.51919371690083
55,2019-05-15,2019-05-19,5,2019-05-15,1.5597138064634457,1.4652784416744318,7.326392208372159
56,2019-07-08,2019-07-16,9,2019-07-10,1.6931001858063013,1.29886419067212,11.689777716049079
57,2019-07-26,2019-08-03,9,2019-08-03,1.1885235023969898,1.068701210217974,9.618310891961766
